reference_response_baseline_id,rc_id,case_baseline_id,case_id,submitted_code,expected_evaluation_status,expected_class,determining_rule,pattern_id,criterion,improvement_code,required_explanation_elements,source_locator
RCBASE-0.2,RC-001-01,CASEBASE-0.2,CASE-001,J44.0,classified,incorrect,RULE-DEPTH-01,PAT-DEPTH-01,mandatory_coding_depth_not_met,,submitted_code|required_coding_level,"SRC-AT-DOC-2026:pp.12,26"
RCBASE-0.2,RC-001-02,CASEBASE-0.2,CASE-001,J44.00,classified,incorrect,RULE-EVID-01,PAT-EVID-01,case_evidence_conflict,J44.02,submitted_code|fev1_stable_pct_predicted|submitted_suffix_meaning|expected_suffix|expected_code,SRC-AT-DOC-2026:p.34
RCBASE-0.2,RC-001-03,CASEBASE-0.2,CASE-001,J44.01,classified,incorrect,RULE-EVID-01,PAT-EVID-01,case_evidence_conflict,J44.02,submitted_code|fev1_stable_pct_predicted|submitted_suffix_meaning|expected_suffix|expected_code,SRC-AT-DOC-2026:p.34
RCBASE-0.2,RC-001-04,CASEBASE-0.2,CASE-001,J44.02,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,"SRC-AT-DOC-2026:pp.26,34; SRC-AT-DIAGLIST-2026:row 3887"
RCBASE-0.2,RC-001-05,CASEBASE-0.2,CASE-001,J44.03,classified,incorrect,RULE-EVID-01,PAT-EVID-01,case_evidence_conflict,J44.02,submitted_code|fev1_stable_pct_predicted|submitted_suffix_meaning|expected_suffix|expected_code,SRC-AT-DOC-2026:p.34
RCBASE-0.2,RC-001-06,CASEBASE-0.2,CASE-001,J44.09,classified,suboptimal,RULE-SPEC-01,PAT-SPEC-01,supported_specificity_not_used,J44.02,submitted_code|fev1_stable_pct_predicted|expected_code|improvement_direction,"SRC-AT-DOC-2026:pp.26,34"
RCBASE-0.2,RC-002-01,CASEBASE-0.2,CASE-002,J44.1,classified,incorrect,RULE-DEPTH-01,PAT-DEPTH-01,mandatory_coding_depth_not_met,,submitted_code|required_coding_level,"SRC-AT-DOC-2026:pp.12,26"
RCBASE-0.2,RC-002-02,CASEBASE-0.2,CASE-002,J44.10,classified,incorrect,RULE-EVID-01,PAT-EVID-01,case_evidence_conflict,J44.12,submitted_code|fev1_stable_pct_predicted|submitted_suffix_meaning|expected_suffix|expected_code,SRC-AT-DOC-2026:p.34
RCBASE-0.2,RC-002-03,CASEBASE-0.2,CASE-002,J44.11,classified,incorrect,RULE-EVID-01,PAT-EVID-01,case_evidence_conflict,J44.12,submitted_code|fev1_stable_pct_predicted|submitted_suffix_meaning|expected_suffix|expected_code,SRC-AT-DOC-2026:p.34
RCBASE-0.2,RC-002-04,CASEBASE-0.2,CASE-002,J44.12,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,"SRC-AT-DOC-2026:pp.26,34; SRC-AT-DIAGLIST-2026:row 3893"
RCBASE-0.2,RC-002-05,CASEBASE-0.2,CASE-002,J44.13,classified,incorrect,RULE-EVID-01,PAT-EVID-01,case_evidence_conflict,J44.12,submitted_code|fev1_stable_pct_predicted|submitted_suffix_meaning|expected_suffix|expected_code,SRC-AT-DOC-2026:p.34
RCBASE-0.2,RC-002-06,CASEBASE-0.2,CASE-002,J44.19,classified,suboptimal,RULE-SPEC-01,PAT-SPEC-01,supported_specificity_not_used,J44.12,submitted_code|fev1_stable_pct_predicted|expected_code|improvement_direction,"SRC-AT-DOC-2026:pp.26,34"
RCBASE-0.2,RC-003-01,CASEBASE-0.2,CASE-003,Z01.6,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,"SRC-AT-DOC-2026:pp.18,22; SRC-AT-DIAGLIST-2026:row 12683"
RCBASE-0.2,RC-004-01,CASEBASE-0.2,CASE-004,Z01.6,classified,incorrect,RULE-STATUS-01,PAT-STATUS-01,context_status_incompatibility,,submitted_code|marker|diagnosis_role|encounter_setting|restriction,"SRC-AT-DOC-2026:pp.10-11,18; SRC-AT-DIAGLIST-2026:row 12683"
RCBASE-0.2,RC-005-01,CASEBASE-0.2,CASE-005,J44.00,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,"SRC-AT-DOC-2026:pp.26,34; SRC-AT-DIAGLIST-2026:row 3885"
RCBASE-0.2,RC-006-01,CASEBASE-0.2,CASE-006,J44.11,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,"SRC-AT-DOC-2026:pp.26,34; SRC-AT-DIAGLIST-2026:row 3892"
RCBASE-0.2,RC-007-01,CASEBASE-0.2,CASE-007,J44.03,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,"SRC-AT-DOC-2026:pp.26,34; SRC-AT-DIAGLIST-2026:row 3888"
RCBASE-0.2,RC-008-01,CASEBASE-0.2,CASE-008,Z01.6,classified,incorrect,RULE-STATUS-01,PAT-STATUS-01,context_status_incompatibility,,submitted_code|marker|diagnosis_role|encounter_setting|restriction,"SRC-AT-DOC-2026:pp.10-11,18; SRC-AT-DIAGLIST-2026:row 12683"
