question_baseline_id,question_id,subset_baseline_id,code,fact_key,relation_role
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.0,encounter_setting,supports_source_rule
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.0,diagnosis_role,supports_source_rule
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.0,copd_base_code,supports_source_rule
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.00,copd_base_code,supports_source_rule
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.00,fev1_stable_pct_predicted,supports_source_rule
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.01,copd_base_code,supports_source_rule
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.01,fev1_stable_pct_predicted,supports_source_rule
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.02,copd_base_code,supports_reference
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.02,fev1_stable_pct_predicted,supports_reference
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.03,copd_base_code,supports_source_rule
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.03,fev1_stable_pct_predicted,supports_source_rule
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.09,copd_base_code,supports_source_rule
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.09,fev1_stable_pct_predicted,supports_source_rule
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.1,encounter_setting,supports_source_rule
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.1,diagnosis_role,supports_source_rule
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.1,copd_base_code,supports_source_rule
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.10,copd_base_code,supports_source_rule
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.10,fev1_stable_pct_predicted,supports_source_rule
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.11,copd_base_code,supports_source_rule
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.11,fev1_stable_pct_predicted,supports_source_rule
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.12,copd_base_code,supports_reference
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.12,fev1_stable_pct_predicted,supports_reference
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.13,copd_base_code,supports_source_rule
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.13,fev1_stable_pct_predicted,supports_source_rule
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.19,copd_base_code,supports_source_rule
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.19,fev1_stable_pct_predicted,supports_source_rule
QUESTIONBASE-0.1,VQ-003,SUBSET-0.2,Z01.6,encounter_setting,supports_reference
QUESTIONBASE-0.1,VQ-003,SUBSET-0.2,Z01.6,diagnosis_role,supports_reference
QUESTIONBASE-0.1,VQ-003,SUBSET-0.2,Z01.6,inpatient_lkf_scored,supports_reference
QUESTIONBASE-0.1,VQ-004,SUBSET-0.2,Z01.6,encounter_setting,supports_source_rule
QUESTIONBASE-0.1,VQ-004,SUBSET-0.2,Z01.6,diagnosis_role,supports_source_rule
QUESTIONBASE-0.1,VQ-004,SUBSET-0.2,Z01.6,inpatient_lkf_scored,supports_source_rule
QUESTIONBASE-0.1,VQ-005,SUBSET-0.2,J44.00,copd_base_code,supports_reference
QUESTIONBASE-0.1,VQ-005,SUBSET-0.2,J44.00,fev1_stable_pct_predicted,supports_reference
QUESTIONBASE-0.1,VQ-006,SUBSET-0.2,J44.11,copd_base_code,supports_reference
QUESTIONBASE-0.1,VQ-006,SUBSET-0.2,J44.11,fev1_stable_pct_predicted,supports_reference
QUESTIONBASE-0.1,VQ-007,SUBSET-0.2,J44.03,copd_base_code,supports_reference
QUESTIONBASE-0.1,VQ-007,SUBSET-0.2,J44.03,fev1_stable_pct_predicted,supports_reference
QUESTIONBASE-0.1,VQ-008,SUBSET-0.2,Z01.6,encounter_setting,supports_source_rule
QUESTIONBASE-0.1,VQ-008,SUBSET-0.2,Z01.6,diagnosis_role,supports_source_rule
