question_baseline_id,question_id,fact_key,value_type,value_text,value_integer,value_decimal,value_boolean,value_code,value_enum,unit,learner_label,source_context_item_id
QUESTIONBASE-0.1,VQ-001,encounter_setting,enum,,,,,,inpatient,,Encounter setting,
QUESTIONBASE-0.1,VQ-001,diagnosis_role,enum,,,,,,main,,Diagnosis role,
QUESTIONBASE-0.1,VQ-001,copd_base_code,code,,,,,J44.0,,,COPD base category,
QUESTIONBASE-0.1,VQ-001,fev1_stable_pct_predicted,decimal,,,55.00,,,,percent_predicted,Stable-phase FEV1,
QUESTIONBASE-0.1,VQ-002,encounter_setting,enum,,,,,,inpatient,,Encounter setting,
QUESTIONBASE-0.1,VQ-002,diagnosis_role,enum,,,,,,main,,Diagnosis role,
QUESTIONBASE-0.1,VQ-002,copd_base_code,code,,,,,J44.1,,,COPD base category,
QUESTIONBASE-0.1,VQ-002,fev1_stable_pct_predicted,decimal,,,50.00,,,,percent_predicted,Stable-phase FEV1,
QUESTIONBASE-0.1,VQ-003,encounter_setting,enum,,,,,,hospital_outpatient,,Encounter setting,
QUESTIONBASE-0.1,VQ-003,diagnosis_role,enum,,,,,,main,,Diagnosis role,
QUESTIONBASE-0.1,VQ-003,inpatient_lkf_scored,boolean,,,,false,,,,Inpatient LKF scoring active,
QUESTIONBASE-0.1,VQ-004,encounter_setting,enum,,,,,,hospital_outpatient,,Encounter setting,
QUESTIONBASE-0.1,VQ-004,diagnosis_role,enum,,,,,,main,,Diagnosis role,
QUESTIONBASE-0.1,VQ-004,inpatient_lkf_scored,boolean,,,,true,,,,Inpatient LKF scoring active,
QUESTIONBASE-0.1,VQ-005,encounter_setting,enum,,,,,,inpatient,,Encounter setting,
QUESTIONBASE-0.1,VQ-005,diagnosis_role,enum,,,,,,main,,Diagnosis role,
QUESTIONBASE-0.1,VQ-005,copd_base_code,code,,,,,J44.0,,,COPD base category,
QUESTIONBASE-0.1,VQ-005,fev1_stable_pct_predicted,decimal,,,20.00,,,,percent_predicted,Stable-phase FEV1,
QUESTIONBASE-0.1,VQ-006,encounter_setting,enum,,,,,,inpatient,,Encounter setting,
QUESTIONBASE-0.1,VQ-006,diagnosis_role,enum,,,,,,main,,Diagnosis role,
QUESTIONBASE-0.1,VQ-006,copd_base_code,code,,,,,J44.1,,,COPD base category,
QUESTIONBASE-0.1,VQ-006,fev1_stable_pct_predicted,decimal,,,35.00,,,,percent_predicted,Stable-phase FEV1,
QUESTIONBASE-0.1,VQ-007,encounter_setting,enum,,,,,,inpatient,,Encounter setting,
QUESTIONBASE-0.1,VQ-007,diagnosis_role,enum,,,,,,main,,Diagnosis role,
QUESTIONBASE-0.1,VQ-007,copd_base_code,code,,,,,J44.0,,,COPD base category,
QUESTIONBASE-0.1,VQ-007,fev1_stable_pct_predicted,decimal,,,70.00,,,,percent_predicted,Stable-phase FEV1,
QUESTIONBASE-0.1,VQ-008,encounter_setting,enum,,,,,,inpatient,,Encounter setting,
QUESTIONBASE-0.1,VQ-008,diagnosis_role,enum,,,,,,main,,Diagnosis role,
