question_baseline_id,question_id,subset_baseline_id,code,relation_kind,reason_key,improvement_code,source_audit_ref
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.0,source_rule_resolved,,,exact_semantic_carry_forward_from_rcbase_0_1; RC-001-01
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.00,source_rule_resolved,,,exact_semantic_carry_forward_from_rcbase_0_1; RC-001-02
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.01,source_rule_resolved,,,exact_semantic_carry_forward_from_rcbase_0_1; RC-001-03
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.02,accepted_reference,,,exact_semantic_carry_forward_from_rcbase_0_1; RC-001-04
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.03,source_rule_resolved,,,exact_semantic_carry_forward_from_rcbase_0_1; RC-001-05
QUESTIONBASE-0.1,VQ-001,SUBSET-0.2,J44.09,source_rule_resolved,,,exact_semantic_carry_forward_from_rcbase_0_1; RC-001-06
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.1,source_rule_resolved,,,exact_semantic_carry_forward_from_rcbase_0_1; RC-002-01
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.10,source_rule_resolved,,,exact_semantic_carry_forward_from_rcbase_0_1; RC-002-02
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.11,source_rule_resolved,,,exact_semantic_carry_forward_from_rcbase_0_1; RC-002-03
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.12,accepted_reference,,,exact_semantic_carry_forward_from_rcbase_0_1; RC-002-04
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.13,source_rule_resolved,,,exact_semantic_carry_forward_from_rcbase_0_1; RC-002-05
QUESTIONBASE-0.1,VQ-002,SUBSET-0.2,J44.19,source_rule_resolved,,,exact_semantic_carry_forward_from_rcbase_0_1; RC-002-06
QUESTIONBASE-0.1,VQ-003,SUBSET-0.2,Z01.6,accepted_reference,,,exact_semantic_carry_forward_from_rcbase_0_1; RC-003-01
QUESTIONBASE-0.1,VQ-004,SUBSET-0.2,Z01.6,source_rule_resolved,,,exact_semantic_carry_forward_from_rcbase_0_1; RC-004-01
QUESTIONBASE-0.1,VQ-005,SUBSET-0.2,J44.00,accepted_reference,,,reconstructed_from_implementation_documentation; RC-005-01
QUESTIONBASE-0.1,VQ-006,SUBSET-0.2,J44.11,accepted_reference,,,reconstructed_from_implementation_documentation; RC-006-01
QUESTIONBASE-0.1,VQ-007,SUBSET-0.2,J44.03,accepted_reference,,,reconstructed_from_implementation_documentation; RC-007-01
QUESTIONBASE-0.1,VQ-008,SUBSET-0.2,Z01.6,source_rule_resolved,,,reconstructed_from_implementation_documentation; RC-008-01
