question_baseline_id,question_id,subset_baseline_id,code,fact_key,relation_role
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.02,copd_base_code,supports_reference
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.02,fev1_stable_pct_predicted,supports_reference
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.02,acute_lower_respiratory_infection_documented,supports_reference
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.09,copd_base_code,supports_source_rule
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.09,fev1_stable_pct_predicted,supports_source_rule
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.0,copd_base_code,supports_source_rule
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.0,fev1_stable_pct_predicted,supports_source_rule
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.00,copd_base_code,supports_source_rule
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.00,fev1_stable_pct_predicted,supports_source_rule
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.01,copd_base_code,supports_source_rule
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.01,fev1_stable_pct_predicted,supports_source_rule
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.03,copd_base_code,supports_source_rule
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.03,fev1_stable_pct_predicted,supports_source_rule
QUESTIONBASE-0.1,Q-001-02,SUBSET-0.2,E11.9,diabetes_type,supports_reference
QUESTIONBASE-0.1,Q-001-02,SUBSET-0.2,E11.9,diabetic_complications_documented,supports_reference
QUESTIONBASE-0.1,Q-001-02,SUBSET-0.2,E11.3,diabetic_complications_documented,conflicts_with_response
QUESTIONBASE-0.1,Q-001-02,SUBSET-0.2,E11.2,diabetic_complications_documented,conflicts_with_response
QUESTIONBASE-0.1,Q-001-03,SUBSET-0.2,M17.0,laterality,supports_reference
QUESTIONBASE-0.1,Q-001-03,SUBSET-0.2,M17.0,osteoarthritis_etiology,supports_reference
QUESTIONBASE-0.1,Q-001-03,SUBSET-0.2,M17.9,laterality,supports_specificity
QUESTIONBASE-0.1,Q-001-03,SUBSET-0.2,M17.9,osteoarthritis_etiology,supports_specificity
QUESTIONBASE-0.1,Q-001-03,SUBSET-0.2,M17.2,osteoarthritis_etiology,conflicts_with_response
QUESTIONBASE-0.1,Q-001-03,SUBSET-0.2,M17.4,osteoarthritis_etiology,conflicts_with_response
QUESTIONBASE-0.1,Q-002-01,SUBSET-0.2,I48.0,rhythm_diagnosis,supports_reference
QUESTIONBASE-0.1,Q-002-01,SUBSET-0.2,I48.0,rhythm_pattern,supports_reference
QUESTIONBASE-0.1,Q-002-01,SUBSET-0.2,I48.9,rhythm_pattern,supports_specificity
QUESTIONBASE-0.1,Q-002-01,SUBSET-0.2,I48.1,rhythm_pattern,conflicts_with_response
QUESTIONBASE-0.1,Q-002-01,SUBSET-0.2,I48.3,rhythm_diagnosis,conflicts_with_response
QUESTIONBASE-0.1,Q-002-01,SUBSET-0.2,I48.3,rhythm_pattern,conflicts_with_response
QUESTIONBASE-0.1,Q-002-02,SUBSET-0.2,N18.3,ckd_stage,supports_reference
QUESTIONBASE-0.1,Q-002-02,SUBSET-0.2,N18.3,gfr,supports_reference
QUESTIONBASE-0.1,Q-002-02,SUBSET-0.2,N18.9,ckd_stage,supports_specificity
QUESTIONBASE-0.1,Q-002-02,SUBSET-0.2,N18.2,ckd_stage,conflicts_with_response
QUESTIONBASE-0.1,Q-002-02,SUBSET-0.2,N18.2,gfr,conflicts_with_response
QUESTIONBASE-0.1,Q-002-02,SUBSET-0.2,N18.4,ckd_stage,conflicts_with_response
QUESTIONBASE-0.1,Q-002-02,SUBSET-0.2,N18.4,gfr,conflicts_with_response
QUESTIONBASE-0.1,Q-002-03,SUBSET-0.2,F41.0,documented_diagnosis,supports_reference
QUESTIONBASE-0.1,Q-002-03,SUBSET-0.2,F41.9,documented_diagnosis,supports_specificity
QUESTIONBASE-0.1,Q-002-03,SUBSET-0.2,F41.1,documented_diagnosis,conflicts_with_response
QUESTIONBASE-0.1,Q-002-03,SUBSET-0.2,F41.2,documented_diagnosis,conflicts_with_response
QUESTIONBASE-0.1,Q-003-01,SUBSET-0.2,G43.1,aura_present,supports_reference
QUESTIONBASE-0.1,Q-003-01,SUBSET-0.2,G43.1,status_migrainosus,supports_reference
QUESTIONBASE-0.1,Q-003-01,SUBSET-0.2,G43.9,aura_present,supports_specificity
QUESTIONBASE-0.1,Q-003-01,SUBSET-0.2,G43.0,aura_present,conflicts_with_response
QUESTIONBASE-0.1,Q-003-01,SUBSET-0.2,G43.2,aura_present,conflicts_with_response
QUESTIONBASE-0.1,Q-003-01,SUBSET-0.2,G43.2,status_migrainosus,conflicts_with_response
QUESTIONBASE-0.1,Q-003-02,SUBSET-0.2,E03.3,documented_diagnosis,supports_reference
QUESTIONBASE-0.1,Q-003-02,SUBSET-0.2,E03.3,etiology,supports_reference
QUESTIONBASE-0.1,Q-003-02,SUBSET-0.2,E03.9,etiology,supports_specificity
QUESTIONBASE-0.1,Q-003-02,SUBSET-0.2,E03.2,etiology,conflicts_with_response
QUESTIONBASE-0.1,Q-003-02,SUBSET-0.2,E03.4,etiology,conflicts_with_response
QUESTIONBASE-0.1,Q-003-03,SUBSET-0.2,F41.1,documented_diagnosis,supports_reference
QUESTIONBASE-0.1,Q-003-03,SUBSET-0.2,F41.9,documented_diagnosis,supports_specificity
QUESTIONBASE-0.1,Q-003-03,SUBSET-0.2,F41.0,documented_diagnosis,conflicts_with_response
QUESTIONBASE-0.1,Q-003-03,SUBSET-0.2,F41.2,documented_diagnosis,conflicts_with_response
QUESTIONBASE-0.1,Q-004-01,SUBSET-0.2,E11.9,diabetes_type,supports_reference
QUESTIONBASE-0.1,Q-004-01,SUBSET-0.2,E11.9,diabetic_complications_documented,supports_reference
QUESTIONBASE-0.1,Q-004-01,SUBSET-0.2,E11.9,diabetic_eye_causality_documented,supports_reference
QUESTIONBASE-0.1,Q-004-01,SUBSET-0.2,E11.3,diabetic_complications_documented,conflicts_with_response
QUESTIONBASE-0.1,Q-004-01,SUBSET-0.2,E11.3,diabetic_eye_causality_documented,conflicts_with_response
QUESTIONBASE-0.1,Q-004-01,SUBSET-0.2,E11.2,diabetic_complications_documented,conflicts_with_response
QUESTIONBASE-0.1,Q-004-01,SUBSET-0.2,E11.2,diabetic_eye_causality_documented,conflicts_with_response
QUESTIONBASE-0.1,Q-004-01,SUBSET-0.2,E11.8,diabetic_complications_documented,conflicts_with_response
QUESTIONBASE-0.1,Q-004-01,SUBSET-0.2,E11.8,diabetic_eye_causality_documented,conflicts_with_response
QUESTIONBASE-0.1,Q-004-02,SUBSET-0.2,H40.1,glaucoma_subtype,supports_reference
