question_baseline_id,question_id,subset_baseline_id,code,relation_kind,reason_key,improvement_code,source_audit_ref
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.02,accepted_reference,,,QSAUDIT-0.1 §4.1
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.09,source_rule_resolved,,,QSAUDIT-0.1 §4.1; RULE-SPEC-01
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.0,source_rule_resolved,,,QSAUDIT-0.1 §4.1; RULE-DEPTH-01
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.00,source_rule_resolved,,,QSAUDIT-0.1 §4.1; RULE-EVID-01
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.01,source_rule_resolved,,,QSAUDIT-0.1 §4.1; RULE-EVID-01
QUESTIONBASE-0.1,Q-001-01,SUBSET-0.2,J44.03,source_rule_resolved,,,QSAUDIT-0.1 §4.1; RULE-EVID-01
QUESTIONBASE-0.1,Q-001-02,SUBSET-0.2,E11.9,accepted_reference,,,QSAUDIT-0.1 §4.1
QUESTIONBASE-0.1,Q-001-02,SUBSET-0.2,E11.3,fact_conflict,unsupported_complication_or_causality,,QSAUDIT-0.1 §4.1
QUESTIONBASE-0.1,Q-001-02,SUBSET-0.2,E11.2,fact_conflict,unsupported_complication_or_causality,,QSAUDIT-0.1 §4.1
QUESTIONBASE-0.1,Q-001-03,SUBSET-0.2,M17.0,accepted_reference,,,QSAUDIT-0.1 §4.1
QUESTIONBASE-0.1,Q-001-03,SUBSET-0.2,M17.9,less_specific_supported,less_specific_than_documented,M17.0,QSAUDIT-0.1 §4.1
QUESTIONBASE-0.1,Q-001-03,SUBSET-0.2,M17.2,fact_conflict,wrong_etiology,,QSAUDIT-0.1 §4.1
QUESTIONBASE-0.1,Q-001-03,SUBSET-0.2,M17.4,fact_conflict,wrong_etiology,,QSAUDIT-0.1 §4.1
QUESTIONBASE-0.1,Q-002-01,SUBSET-0.2,I48.0,accepted_reference,,,QSAUDIT-0.1 §4.2
QUESTIONBASE-0.1,Q-002-01,SUBSET-0.2,I48.9,less_specific_supported,less_specific_than_documented,I48.0,QSAUDIT-0.1 §4.2
QUESTIONBASE-0.1,Q-002-01,SUBSET-0.2,I48.1,fact_conflict,wrong_subtype,,QSAUDIT-0.1 §4.2
QUESTIONBASE-0.1,Q-002-01,SUBSET-0.2,I48.3,fact_conflict,wrong_subtype,,QSAUDIT-0.1 §4.2
QUESTIONBASE-0.1,Q-002-02,SUBSET-0.2,N18.3,accepted_reference,,,QSAUDIT-0.1 §4.2
QUESTIONBASE-0.1,Q-002-02,SUBSET-0.2,N18.9,less_specific_supported,less_specific_than_documented,N18.3,QSAUDIT-0.1 §4.2
QUESTIONBASE-0.1,Q-002-02,SUBSET-0.2,N18.2,fact_conflict,wrong_stage_or_severity,,QSAUDIT-0.1 §4.2
QUESTIONBASE-0.1,Q-002-02,SUBSET-0.2,N18.4,fact_conflict,wrong_stage_or_severity,,QSAUDIT-0.1 §4.2
QUESTIONBASE-0.1,Q-002-03,SUBSET-0.2,F41.0,accepted_reference,,,QSAUDIT-0.1 §4.2
QUESTIONBASE-0.1,Q-002-03,SUBSET-0.2,F41.9,less_specific_supported,less_specific_than_documented,F41.0,QSAUDIT-0.1 §4.2
