reference_response_baseline_id,rc_id,question_baseline_id,question_id,response_kind,submitted_code,expected_evaluation_status,expected_class,expected_determining_rule,expected_pattern_id,expected_criterion,expected_improvement_code,required_explanation_elements,source_ref,legacy_rc_id,legacy_case_id,provenance_status
RCBASE-0.3,RC-L-001-01-C01,QUESTIONBASE-0.1,Q-001-01,code,J44.02,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.1,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-001-01-C02,QUESTIONBASE-0.1,Q-001-01,code,J44.09,classified,suboptimal,RULE-SPEC-01,PAT-SPEC-01,supported_specificity_not_used,J44.02,submitted_code|fev1_stable_pct_predicted|expected_code|improvement_direction,QSAUDIT-0.1 §4.1; RULE-SPEC-01,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-001-01-C03,QUESTIONBASE-0.1,Q-001-01,code,J44.0,classified,incorrect,RULE-DEPTH-01,PAT-DEPTH-01,mandatory_coding_depth_not_met,,submitted_code|required_coding_level,QSAUDIT-0.1 §4.1; RULE-DEPTH-01,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-001-01-C04,QUESTIONBASE-0.1,Q-001-01,code,J44.00,classified,incorrect,RULE-EVID-01,PAT-EVID-01,case_evidence_conflict,J44.02,submitted_code|fev1_stable_pct_predicted|submitted_suffix_meaning|expected_suffix|expected_code,QSAUDIT-0.1 §4.1; RULE-EVID-01,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-001-01-C05,QUESTIONBASE-0.1,Q-001-01,code,J44.01,classified,incorrect,RULE-EVID-01,PAT-EVID-01,case_evidence_conflict,J44.02,submitted_code|fev1_stable_pct_predicted|submitted_suffix_meaning|expected_suffix|expected_code,QSAUDIT-0.1 §4.1; RULE-EVID-01,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-001-01-C06,QUESTIONBASE-0.1,Q-001-01,code,J44.03,classified,incorrect,RULE-EVID-01,PAT-EVID-01,case_evidence_conflict,J44.02,submitted_code|fev1_stable_pct_predicted|submitted_suffix_meaning|expected_suffix|expected_code,QSAUDIT-0.1 §4.1; RULE-EVID-01,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-001-01-NOA,QUESTIONBASE-0.1,Q-001-01,none_of_above,,classified,incorrect,RULE-NOA-01,,displayed_accepted_response_exists,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.1; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-001-02-C01,QUESTIONBASE-0.1,Q-001-02,code,E11.9,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.1,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-001-02-C02,QUESTIONBASE-0.1,Q-001-02,code,E11.3,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.1,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-001-02-C03,QUESTIONBASE-0.1,Q-001-02,code,E11.2,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.1,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-001-02-NOA,QUESTIONBASE-0.1,Q-001-02,none_of_above,,classified,incorrect,RULE-NOA-01,,displayed_accepted_response_exists,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.1; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-001-03-C01,QUESTIONBASE-0.1,Q-001-03,code,M17.0,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.1,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-001-03-C02,QUESTIONBASE-0.1,Q-001-03,code,M17.9,classified,suboptimal,RULE-REL-SPEC-01,,supported_specificity_not_used,M17.0,submitted_code|improvement_code|supported_detail,QSAUDIT-0.1 §4.1,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-001-03-C03,QUESTIONBASE-0.1,Q-001-03,code,M17.2,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.1,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-001-03-C04,QUESTIONBASE-0.1,Q-001-03,code,M17.4,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.1,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-001-03-NOA,QUESTIONBASE-0.1,Q-001-03,none_of_above,,classified,incorrect,RULE-NOA-01,,displayed_accepted_response_exists,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.1; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
