question_baseline_id,question_id,option_id,option_kind,subset_baseline_id,code,canonical_position
QUESTIONBASE-0.1,Q-001-01,Q-001-01-O01,code,SUBSET-0.2,J44.02,1
QUESTIONBASE-0.1,Q-001-01,Q-001-01-O02,code,SUBSET-0.2,J44.01,2
QUESTIONBASE-0.1,Q-001-01,Q-001-01-O03,code,SUBSET-0.2,J44.09,3
QUESTIONBASE-0.1,Q-001-01,Q-001-01-O04,none_of_above,,,4
QUESTIONBASE-0.1,Q-001-02,Q-001-02-O01,code,SUBSET-0.2,E11.9,1
QUESTIONBASE-0.1,Q-001-02,Q-001-02-O02,code,SUBSET-0.2,E11.3,2
QUESTIONBASE-0.1,Q-001-02,Q-001-02-O03,code,SUBSET-0.2,E11.2,3
QUESTIONBASE-0.1,Q-001-02,Q-001-02-O04,none_of_above,,,4
QUESTIONBASE-0.1,Q-001-03,Q-001-03-O01,code,SUBSET-0.2,M17.0,1
QUESTIONBASE-0.1,Q-001-03,Q-001-03-O02,code,SUBSET-0.2,M17.9,2
QUESTIONBASE-0.1,Q-001-03,Q-001-03-O03,code,SUBSET-0.2,M17.2,3
QUESTIONBASE-0.1,Q-001-03,Q-001-03-O04,code,SUBSET-0.2,M17.4,4
QUESTIONBASE-0.1,Q-001-03,Q-001-03-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-002-01,Q-002-01-O01,code,SUBSET-0.2,I48.0,1
QUESTIONBASE-0.1,Q-002-01,Q-002-01-O02,code,SUBSET-0.2,I48.9,2
QUESTIONBASE-0.1,Q-002-01,Q-002-01-O03,code,SUBSET-0.2,I48.1,3
QUESTIONBASE-0.1,Q-002-01,Q-002-01-O04,code,SUBSET-0.2,I48.3,4
QUESTIONBASE-0.1,Q-002-01,Q-002-01-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-002-02,Q-002-02-O01,code,SUBSET-0.2,N18.3,1
QUESTIONBASE-0.1,Q-002-02,Q-002-02-O02,code,SUBSET-0.2,N18.9,2
QUESTIONBASE-0.1,Q-002-02,Q-002-02-O03,code,SUBSET-0.2,N18.2,3
QUESTIONBASE-0.1,Q-002-02,Q-002-02-O04,code,SUBSET-0.2,N18.4,4
QUESTIONBASE-0.1,Q-002-02,Q-002-02-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-002-03,Q-002-03-O01,code,SUBSET-0.2,F41.0,1
QUESTIONBASE-0.1,Q-002-03,Q-002-03-O02,code,SUBSET-0.2,F41.9,2
QUESTIONBASE-0.1,Q-002-03,Q-002-03-O03,code,SUBSET-0.2,F41.1,3
QUESTIONBASE-0.1,Q-002-03,Q-002-03-O04,code,SUBSET-0.2,F41.2,4
QUESTIONBASE-0.1,Q-002-03,Q-002-03-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-003-01,Q-003-01-O01,code,SUBSET-0.2,G43.1,1
QUESTIONBASE-0.1,Q-003-01,Q-003-01-O02,code,SUBSET-0.2,G43.9,2
